FROM,TO,TIMING
MANAPA,CHINCHAWAD, 6.45AM 7.10AM 7.40AM 8.10AM 8.35AM 9.05AM 9.35AM 10.05AM 10.30AM 10.55AM 11.20AM 12.10PM 12.40PM 1.05PM 1.30PM 1.55PM 2.20PM 2.55PM 3.20PM 3.45PM 4.10PM 4.35PM 5.00PM 5.25PM 5.50PM 6.15PM 6.40PM 7.05PM 7.35PM 8.25PM 8.50PM 9.25PM 9.40PM 10.05PM
MANAPA,NIGDI,5.35AM 6.00AM 6.30AM 6.50AM 7.05AM 7.25AM 7.45AM 8.00AM 8.20AM 8.40AM 9.00AM 9.15AM 9.25AM 9.40AM 9.50AM 10.05AM 10.20AM 10.40AM 11.00AM 11.15AM 11.35AM 12.00PM 12.15PM 12.25PM 12.40PM 12.50PM 1.05PM 1.25PM 1.45PM 2.05PM 2.20PM 2.40PM 3.15PM 3.30PM 3.45PM 4.00PM 4.10PM 4.25PM 4.35PM 4.45PM 4.55PM 5.10PM 5.25PM 5.45PM 6.00PM 6.15PM 6.30PM 6.40PM 6.55PM 7.10PM 7.30PM 7.45PM 8.00PM 8.20PM 8.50PM 9.15PM 9.30PM 9.45PM 10.00PM 11.00PM
 NIGDI,MANAPA, 5.40AM 6.00AM 6.35AM 7.05AM 7.20AM 7.40AM 8.00AM 8.20AM 8.35AM 8.50AM 9.00AM 9.15AM 9.25AM 9.40AM 10.00AM 10.20AM 10.40AM 11.00AM 11.10AM 11.25AM 11.35AM 11.55AM 12.15PM 12.25PM 12.45PM 1.00PM 1.25PM 1.50PM 2.10PM 2.30PM 2.50PM 3.10PM 3.20PM 3.30PM 3.40PM 3.55PM 4.10PM 4.30PM 4.45PM 5.00PM 5.15PM 5.25PM 5.35PM 5.50PM 6.00PM 6.15PM 6.30PM 6.45PM 7.00PM 7.15PM 7.35PM 7.55PM 8.15PM 8.35PM 9.00PM 9.30PM 9.45PM 10.05PM 10.35PM 11.00PM
 BOPKHEL,KHADKI BAZAR,6.05AM 6.45AM 7.20AM 7.40AM 8.05AM 8.40AM 9.00AM 9.30AM 10.10AM 10.30AM 11.00AM 11.45AM 3.15PM 4.00PM 4.35PM 4.45PM 5.30PM 6.10PM 6.45PM 7.10PM 7.50PM
 KHADKI BAZAR,BOPKHEL,6.50AM 7.25AM 8.00AM 8.20AM 8.45AM 9.25AM 9.45AM 10.15AM 10.55AM 11.45AM 12.20PM 1.05PM 4.00PM 4.45PM 5.25PM 5.45PM 6.25PM 7.00PM 8.00PM 8.30PM
 MANAPA,BOPKHEL, 5.10AM 5.50AM 6.30AM 2.15PM 3.00PM 3.35PM
BOPKHEL,MANAPA, 12.30PM 1.20PM 1.50PM 8.45PM 9.15PM
 PIMPLE NILAKH,VISHRANTWADI, 6.05AM 6.20AM 7.25AM 7.45AM 8.10AM 8.35AM 9.00AM 9.15AM 9.35AM 10.00AM 10.25AM 10.50AM 11.35AM 11.55AM 12.20PM 12.45PM 1.10PM 1.20PM 1.45PM 2.10PM 3.00PM 3.15PM 3.35PM 4.00PM 4.25PM 4.50PM 5.05PM 5.25PM 5.50PM 6.15PM 6.40PM 7.25PM 7.45PM 8.10PM 9.00PM 9.15PM 9.30PM 10.00PM
 VISHRANTWADI,PIMPLE NILAKH, 6.55AM 7.15AM 8.20AM 8.40AM 9.05AM 9.30AM 9.55AM 10.10AM 10.30AM 10.55AM 11.20AM 11.45AM 12.30PM 12.50PM 1.15PM 1.40PM 2.05PM 2.20PM 2.40PM 3.05PM 3.55PM 4.10PM 4.30PM 4.55PM 5.20PM 5.45PM 6.00PM 6.20PM 6.45PM 7.10PM 7.40PM 8.15PM 8.40PM 9.05PM 10.00PM
KHADAKI BAZAR,KAMAL PARK, 5.45AM
KAMAL PARK,KHADAKI BAZAR, 6.10AM
 KATRAJ,NARHEGAON,5.25AM 5.40AM 6.00AM 6.20AM 6.35AM 6.55AM 2.05PM 2.25PM 2.40PM 3.00PM 3.20PM 3.40PM
NARHEGAON,SWARGATE, 5.45AM 6.05AM 6.20AM 6.40AM 6.55AM 7.15AM 7.35AM 7.55AM 8.10AM 8.30AM 8.45AM 9.05AM 9.25AM 9.45AM 10.00AM 10.20AM 10.55AM 11.15AM 11.45AM 12.05PM 12.20PM 12.40PM 1.05PM 1.20PM 2.25PM 2.45PM 3.00PM 3.20PM 3.40PM 4.00PM 4.15PM 4.35PM 4.50PM 5.10PM 5.30PM 5.50PM 6.05PM 6.25PM 6.45PM 7.05PM 7.25PM 7.45PM 8.25PM 8.45PM 9.05PM 9.25PM 9.45PM 10.05PM
 SWARGATE,NARHEGAON,6.40AM 7.00AM 7.15AM 7.35AM 7.50AM 8.10AM 8.30AM 8.50AM 9.05AM 9.25AM 9.40AM 10.00AM 10.20AM 10.40AM 10.55AM 11.15AM 11.50AM 12.10PM 12.40PM 1.00PM 1.15PM 1.35PM 2.00PM 2.15PM 3.20PM 3.40PM 3.55PM 4.15PM 4.35PM 4.55PM 5.10PM 5.30PM 5.45PM 6.05PM 6.25PM 6.45PM 7.00PM 7.20PM 7.40PM 7.55PM 8.20PM 8.40PM 9.20PM 9.40PM 10.00PM 10.20PM 10.40PM 11.00PM
 NARHEGAON,KATRAJ, 1.35PM 1.55PM 2.10PM 2.30PM 2.55PM 3.10PM 10.15PM 10.35PM 10.55PM 11.15PM 11.30PM 11.50PM
 MANAPA,GOLEGAON, 7.55AM 11.30AM 2.45PM 5.45PM 9.15PM
 GOLEGAON,MANAPA, 6.35AM 9.25AM 12.55PM 4.15PM 7.15PM
 MANAPA,SHUBHAM SOCIETY, 5.25AM 6.05AM 6.45AM 7.10AM 7.30AM 7.50AM 8.10AM 8.30AM 8.50AM 9.10AM 9.30AM 9.50AM 10.10AM 10.30AM 10.50AM 11.10AM 11.30AM 12.40PM 1.20PM 1.40PM 2.15PM 2.40PM 3.05PM 3.30PM 3.55PM 4.15PM 4.40PM 5.05PM 5.30PM 5.55PM 6.15PM 6.40PM 7.05PM 7.30PM 9.10PM 10.00PM
 SHUBHAM SOCIETY,MANAPA, 6.15AM 6.55AM 7.35AM 8.00AM 8.20AM 8.40AM 9.00AM 9.20AM 9.45AM 10.05AM 10.25AM 10.45AM 11.05AM 11.45AM 12.05PM 12.25PM 12.45PM 1.30PM 2.10PM 2.30PM 3.15PM 3.40PM 4.05PM 4.30PM 4.55PM 5.15PM 5.40PM 6.05PM 6.30PM 6.55PM 7.15PM 8.05PM 8.10PM 9.00PM 10.10PM 11.00PM
MANAPA,ANAND PARK, 5.25AM 5.50AM 6.10AM 6.30AM 7.00AM 7.30AM 7.50AM 8.10AM 8.30AM 9.00AM 9.40AM 10.00AM 10.20AM 10.40AM 11.10AM 11.50AM 12.10PM 12.30PM 12.50PM 1.20PM 2.30PM 2.50PM 3.10PM 3.30PM 4.05PM 4.40PM 5.00PM 5.20PM 5.40PM 6.20PM 7.00PM 7.20PM 7.40PM 8.00PM 8.40PM 9.20PM 9.40PM 10.00PM
 ANAND PARK,MANAPA, 6.15AM 6.45AM 7.10AM 7.30AM 8.00AM 8.30AM 8.55AM 9.15AM 9.35AM 10.05AM 10.40AM 11.05AM 11.25AM 11.50AM 12.20PM 1.15PM 1.40PM 2.00PM 2.20PM 2.50PM 3.35PM 3.55PM 4.15PM 4.40PM 5.15PM 5.45PM 6.10PM 6.30PM 6.50PM 7.30PM 8.10PM 8.30PM 8.50PM 9.10PM 9.50PM 10.50PM 11.10PM 11.30PM
 MANAPA,SAINATH NAGAR,  5.15AM 5.40AM 6.20AM 6.40AM 7.10AM 7.20AM 7.40AM 8.00AM 8.20AM 8.40AM 8.50AM 9.20AM 9.30AM 9.50AM 10.10AM 10.30AM 10.50AM 11.00AM 11.25AM 11.40AM 12.00PM 12.20PM 12.40PM 1.00PM 1.35PM 1.55PM 2.20PM 2.40PM 3.20PM 3.40PM 3.55PM 4.15PM 4.30PM 4.50PM 5.10PM 5.30PM 5.50PM 6.10PM 6.30PM 6.50PM 7.10PM 7.30PM 7.50PM 8.10PM 8.50PM 9.10PM 9.30PM 10.15PM
 SAINATH NAGAR,MANAPA,6.20AM 6.40AM 7.20AM 7.40AM 8.10AM 8.25AM 8.45AM 9.05AM 9.25AM 9.45AM 9.55AM 10.25AM 10.35AM 10.55AM 11.15AM 11.35AM 11.55AM 12.30PM 12.45PM 1.10PM 1.30PM 1.50PM 2.10PM 2.30PM 3.00PM 3.15PM 3.25PM 3.45PM 4.25PM 4.45PM 5.05PM 5.20PM 5.40PM 6.00PM 6.20PM 6.40PM 7.00PM 7.20PM 7.40PM 8.00PM 8.20PM 8.40PM 9.00PM 9.20PM 10.00PM 10.45PM 11.05PM 11.50PM
 MANAPA,RANJANGAON SANDAS, 5.45PM
 RANJANGAON SANDAS,MANAPA, 11.45AM
 WAGHOLI,WADEGAON, 7.20AM 8.40AM 10.00AM 11.30AM 5.15PM 6.35PM
 WADEGAON,WAGHOLI, 8.00AM 9.20AM 10.50AM 12.10PM 5.55PM 7.15PM
 MANAPA,PARAGAON SALU MALU, 5.00AM 6.30AM 1.55PM 3.30PM 5.00PM 7.45PM
 PARAGAON SALU MALU,MANAPA, 10.30AM 12.00PM 1.30PM 4.45PM 6.30PM 8.00PM
 WAGHOLI,PARAGAON SALU MALU, 8.30AM 10.00AM 11.30AM
 PARAGAON SALU MALU,WAGHOLI,6.00AM 7.30AM 9.00AM
 NIGDI,SHEWALEWADI, 5.00AM 5.30AM 6.00AM 6.30AM 7.00AM 7.30AM 8.00AM 8.30AM 9.00AM 9.30AM 10.00AM 10.30AM 11.00AM 11.30AM 12.00PM 12.30PM 1.00PM 1.30PM 2.00PM 2.30PM 3.00PM 3.30PM 4.00PM 4.30PM 5.00PM 5.30PM 6.00PM 6.30PM 7.00PM 7.30PM 8.00PM 8.30PM
 SHEWALEWADI,NIGDI, 6.45AM 7.30AM 8.00PM 8.30AM 9.00AM 9.30AM 10.00AM 10.30AM 11.00AM 11.30AM 12.00PM 12.30PM 1.00PM 1.30PM 2.00PM 2.30PM 3.00PM 3.30PM 4.00PM 4.30PM 5.00PM 5.30PM 6.00PM 6.30PM 7.00PM 7.30PM 8.00PM 8.30PM 9.00PM 9.30PM 10.00PM 10.30PM
 BHEKRAINAGAR,NIGDI,4.45AM 5.15AM 5.45AM 6.15AM 7.00AM 7.15AM 7.45AM 8.15AM 8.45AM 9.15AM 9.45AM 10.15AM 10.45AM 11.15AM 11.45AM 12.15PM 12.45PM 1.15PM 1.45PM 2.15PM 2.45PM 3.15PM 3.45PM 4.15PM 4.45PM 5.15PM 5.45PM 6.15PM 6.45PM 7.15PM 7.45PM 8.15PM 8.45PM 9.15PM 9.45PM 10.15PM
NIGDI,BHEKRAINAGAR, 6.45AM 7.15AM 7.45AM 8.15AM 8.45AM 9.15AM 9.45AM 10.15AM 10.45AM 11.15AM 11.45AM 12.15PM 12.45PM 1.15PM 1.45PM 2.15PM 2.45PM 3.15PM 3.45PM 4.15PM 4.45PM 5.15PM 5.45PM 6.15PM 6.45PM 7.15PM 7.45PM 8.15PM 8.45PM 9.15PM 9.45PM 10.15PM 10.45PM 11.15PM 11.45PM 12.15AM
 UPPER DEPO,STATION,5.30AM 5.45AM 6.00AM 6.15AM 6.30AM 6.50AM 7.05AM 7.15AM 7.20AM 7.30AM 7.40AM 8.00AM 8.10AM 8.20AM 8.30AM 8.45AM 9.00AM 9.10AM 9.20AM 9.30AM 9.45AM 10.00AM 10.15AM 10.30AM 10.40AM 10.50AM 11.10AM 11.30AM 11.50AM 12.00PM 12.15PM 12.30PM 12.50PM 1.15PM 1.30PM 1.40PM 1.50PM 2.10PM 2.20PM 2.30PM 2.40PM 2.50PM 3.00PM 3.15PM 3.25PM 3.35PM 3.45PM 4.00PM 4.15PM 4.25PM 4.35PM 4.45PM 5.00PM 5.10PM 5.20PM 5.30PM 5.40PM 5.55PM 6.10PM 6.30PM 6.45PM 7.00PM 7.20PM 7.40PM 8.00PM 8.20PM 8.40PM 9.00PM 9.25PM 9.50PM
STATION,UPPER DEPO,6.15AM 6.30AM 6.45AM 7.05AM 7.20AM 7.50AM 8.00AM 8.10AM 8.20AM 8.40AM 9.00AM 9.15AM 9.20AM 9.30AM 9.45AM 10.00AM 10.10AM 10.20AM 10.30AM 10.45AM 11.00AM 11.15AM 11.30AM 11.40AM 11.50AM 12.10PM 12.25PM 12.45PM 12.55PM 1.10PM 1.25PM 1.50PM 2.10PM 2.20PM 2.30PM 2.40PM 2.50PM 3.05PM 3.20PM 3.30PM 3.40PM 3.50PM 4.00PM 4.10PM 4.20PM 4.30PM 4.40PM 4.55PM 5.10PM 5.40PM 5.30PM 5.40PM 5.55PM 6.10PM 6.20PM 6.30PM 6.40PM 6.50PM 7.15PM 7.30PM 7.40PM 7.55PM 8.20PM 8.40PM 9.00PM 9.20PM 9.35PM 9.55PM 10.20PM 10.45PM
KATRAJ,PUNE STATION (SALVE GARDEN), 8.50AM 11.45AM 3.00PM 5.25PM
 PUNE STATION,KATRAJ (SALVE GARDEN), 10.05AM 1.00PM 4.15PM 6.35PM
 STATION,KONDHWA KUMAR SOCIETY,7.15AM 8.50AM 10.50AM 12.20PM 2.30PM 4.15PM 6.05PM 8.30PM
 KUMAR SOCIETY KONDHWA,STATION, 6.30AM 8.00AM 9.35AM 11.35AM 1.45PM 3.20PM 5.10PM 7.00PM
 GHOTAWADE PHATA,STATION , 5.20AM 7.00AM 8.40AM 10.50AM 2.45PM 3.30PM 6.45PM
STATION,GHOTAWADE PHATA, 6.55AM 8.30AM 10.50AM 12.30PM 4.30PM 5.10PM 8.30PM
GALINDE PATH,STATION, 5.30AM 6.00AM 6.30AM 7.00AM 7.20AM 7.50AM 8.30AM 8.55AM 9.20AM 9.55AM 10.30AM 11.10AM 12.05PM 12.40PM 1.15PM 1.45PM 2.10PM 2.40PM 3.10PM 3.55PM 4.25PM 5.00PM 5.35PM 6.15PM 7.30PM 8.05PM 8.40PM 9.20PM
 STATION,GALINDE PATH, 6.20AM 6.40AM 7.25AM 7.55AM 8.20AM 8.50AM 9.25AM 9.55AM 10.20AM 11.05AM 11.40AM 12.10PM 1.05PM 1.40PM 2.15PM 2.45PM 3.10PM 3.40PM 4.10PM 5.05PM 5.35PM 6.10PM 6.55PM 7.30PM 8.35PM 9.10PM 9.55PM 10.25PM
 KONDHWA GATE,STATION, 6.00AM 6.25AM 6.50AM 7.15AM 7.40AM 8.05AM 8.35AM 9.00AM 9.25AM 9.50AM 10.15AM 10.45AM 11.55AM 12.25PM 12.55PM 1.15PM 2.05PM 2.55PM 3.20PM 3.45PM 4.10PM 4.35PM 5.00PM 5.55PM 6.20PM 6.45PM 7.15PM 8.00PM
 STATION,KONDHWA GATE,7.15AM 7.40AM 8.10AM 8.25AM 8.55AM 9.20AM 10.30AM 10.55AM 11.25AM 11.45AM 12.05PM 12.35PM 1.35PM 1.55PM 2.20PM 2.50PM 3.35PM 4.25PM 4.50PM 5.15PM 5.40PM 6.00PM 6.25PM 7.55PM 8.25PM 8.45PM 9.00PM 10.00PM
 ADITYA GARDEN CITY,STATION, 6.10AM 8.25AM 11.35AM 2.00PM 5.00PM 7.55PM
 STATION,ADITYA GARDEN CITY, 7.05AM 9.45AM 12.50PM 3.20PM 6.35PM 9.15PM
 GUJARAT COLONY,STATION, 7.50AM 9.45AM 12.15PM 4.05PM 6.05PM
 STATION,GUJARAT COLONY, 8.45AM 10.45AM 1.35PM 5.05PM 7.05PM
 PUNE STATION,SUTARWADI,5.30AM 7.30AM 9.45AM 12.25PM 3.50PM 6.00PM 8.35PM
 SUTARWADI,PUNE STATION, 6.25AM 8.35AM 10.55AM 1.30PM 4.50PM 7.05PM 9.45PM
STATION,GOKHALE NAGAR,5.30AM 5.55AM 6.20AM 6.45AM 7.10AM 7.35AM 8.00AM 8.25AM 8.50AM 9.15AM 9.40AM 10.05AM 10.30AM 10.55AM 11.20AM 11.50AM 12.40PM 1.05PM 1.35PM 2.00PM 2.30PM 3.00PM 3.25PM 3.55PM 4.20PM 4.45PM 5.15PM 5.45PM 6.10PM 6.35PM 7.05PM 7.35PM 8.25PM 8.55PM 9.30PM 10.10PM
 GOKHALE NAGAR,STATION,6.15AM 6.40AM 7.10AM 7.35AM 8.00AM 8.25AM 8.50AM 9.15AM 9.40AM 10.05AM 10.30AM 10.55AM 11.20AM 11.45AM 12.15PM 12.45PM 1.30PM 1.55PM 2.25PM 2.50PM 3.20PM 3.50PM 4.20PM 4.50PM 5.15PM 5.40PM 6.10PM 6.40PM 7.05PM 7.30PM 8.00PM 8.30PM 9.20PM 9.50PM 10.20PM 11.00PM
 MANAPA,NHAVI SANDAS, 9.05AM 2.35PM 7.25PM
NHAVI SANDAS,MANAPA, 6.45AM 11.00AM 4.30PM
 SHEWALEWADI,PIMPLEGURAV, 5.05AM 5.45AM 6.25AM 6.45AM 7.05AM 7.25AM 7.45AM 8.05AM 8.25AM 8.45AM 9.05AM 9.25AM 9.45AM 10.05AM 10.25AM 10.45AM 11.05AM 11.25AM 11.45AM 12.05PM 12.25PM 12.45PM 1.05PM 1.25PM 1.45PM 2.05PM 2.25PM 2.45PM 3.05PM 3.25PM 3.45PM 4.05PM 4.25PM 4.45PM 5.05PM 5.25PM 5.45PM 6.05PM 6.30PM 7.05PM 7.45PM 8.25PM
 PIMPLEGURAV,SHEWALEWADI, 6.50AM 7.30AM 8.10AM 8.30AM 8.50AM 9.10AM 9.30AM 9.50AM 10.10AM 10.30AM 10.50AM 11.10AM 11.30AM 11.50AM 12.10PM 12.30PM 12.50PM 1.10PM 1.30PM 1.50PM 2.10PM 2.30PM 2.50PM 3.10PM 3.30PM 3.50PM 4.10PM 4.30PM 4.50PM 5.10PM 5.30PM 5.50PM 6.10PM 6.30PM 6.50PM 7.10PM 7.30PM 7.50PM 8.15PM 8.50PM 9.30PM 10.10PM
 BHOSARI,BHEKRAINAGAR, 5.45AM 6.30AM 7.10AM 7.30AM 7.40AM 8.00AM 8.25AM 8.45AM 9.05AM 9.30AM 10.15AM 10.35AM 10.50AM 11.10AM 11.35AM 12.00PM 12.15PM 12.35PM 12.55PM 1.15PM 1.35PM 2.00PM 2.35PM 3.00PM 3.20PM 3.40PM 4.00PM 4.20PM 4.35PM 4.55PM 5.20PM 5.40PM 6.05PM 6.30PM 7.00PM 7.50PM 8.35PM 9.15PM 9.50PM 10.25PM
 BHEKRAINAGAR,BHOSARI, 5.45AM 6.05AM 6.30AM 6.50AM 7.10AM 7.30AM 7.40AM 8.20AM 9.00AM 9.25AM 10.10AM 10.30AM 10.50AM 11.10AM 11.35AM 12.00PM 12.15PM 12.35PM 12.55PM 1.10PM 1.35PM 2.00PM 2.35PM 3.00PM 3.20PM 3.45PM 4.05PM 4.25PM 4.35PM 4.55PM 5.20PM 5.40PM 6.05PM 6.30PM 7.00PM 7.55PM 8.40PM 9.15PM 9.50PM 10.25PM
 HADAPSAR ,NIGDI, 5.00AM 5.20AM 5.30AM 5.40AM 5.50AM 6.00AM 6.10AM 6.20AM 6.30AM 6.40AM 6.50AM 7.00AM 7.10AM 7.20AM 7.30AM 7.40AM 7.50AM 8.05AM 8.15AM 8.25AM 8.35AM 8.45AM 8.55AM 9.05AM 9.15AM 9.25AM 9.35AM 9.50AM 10.05AM 10.15AM 10.25AM 10.35AM 10.45AM 10.55AM 11.05AM 11.15AM 11.25AM 11.35AM 11.45AM 12.05PM 12.20PM 12.30PM 12.40PM 12.50PM 1.00PM 1.10PM 1.20PM 1.35PM 1.50PM 2.10PM 2.30PM 2.45PM 3.00PM 3.10PM 3.20PM 3.30PM 3.40PM 3.45PM 3.50PM 4.00PM 4.10PM 4.20PM 4.30PM 4.45PM 5.00PM 5.10PM 5.20PM 5.30PM 5.45PM 6.00PM 6.15PM 6.30PM 6.45PM 6.55PM 7.10PM 7.25PM 7.40PM 8.00PM 8.10PM 8.20PM 8.30PM 8.45PM 9.00PM 9.30PM 10.00PM 11.05PM 11.25PM
 NIGDI,HADAPSAR,5.30AM 5.45AM 6.00AM 6.15AM 6.30AM 6.45AM 7.00AM 7.20AM 7.30AM 7.45AM 7.55AM 8.05AM 8.15AM 8.25AM 8.35AM 8.45AM 8.55AM 9.05AM 9.25AM 9.40AM 9.55AM 10.10AM 10.15AM 10.25AM 10.45AM 10.50AM 11.00AM 11.10AM 11.15AM 11.25AM 11.30AM 11.45AM 12.00PM 12.10PM 12.20PM 12.30PM 12.40PM 12.50PM 1.00PM 1.10PM 1.20PM 1.30PM 1.40PM 1.50PM 2.00PM 2.15PM 2.30PM 2.45PM 3.05PM 3.30PM 3.55PM 4.15PM 4.30PM 4.45PM 4.50PM 4.55PM 5.00PM 5.05PM 5.15PM 5.25PM 5.35PM 5.45PM 5.55PM 6.00PM 6.05PM 6.15PM 6.25PM 6.35PM 6.50PM 7.10PM 7.20PM 7.30PM 7.45PM 8.05PM 8.25PM 8.45PM 9.05PM 9.25PM 9.45PM 10.05PM 10.20PM 10.30PM 10.40PM 10.55PM 11.10PM 11.30PM 12.00PM
 STATION,ALANDI, 5.00AM 5.20AM 5.40AM 6.00AM 6.20AM 6.35AM 6.55AM 7.10AM 7.20AM 7.35AM 7.55AM 8.15AM 8.35AM 8.55AM 9.15AM 9.35AM 10.15AM 10.35AM 10.55AM 11.15AM 11.35AM 11.55AM 12.15PM 12.35PM 1.45PM 2.00PM 2.20PM 2.45PM 3.05PM 3.25PM 3.45PM 4.05PM 4.45PM 5.05PM 5.25PM 5.45PM 6.05PM 6.25PM 6.45PM 7.10PM 7.25PM 7.40PM 7.55PM 8.15PM 8.35PM 8.55PM 9.15PM 9.35PM
 ALANDI,STATION, 6.00AM 6.20AM 6.40AM 7.00AM 7.20AM 7.35AM 7.55AM 8.15AM 8.30AM 8.50AM 9.10AM 9.25AM 9.45AM 10.10AM 10.30AM 10.50AM 11.30AM 11.50AM 12.10PM 12.30PM 12.50PM 1.10PM 1.30PM 1.50PM 3.00PM 3.15PM 3.35PM 4.00PM 4.20PM 4.40PM 5.00PM 5.20PM 6.00PM 6.20PM 6.40PM 7.00PM 7.20PM 7.40PM 7.55PM 8.20PM 8.40PM 8.55PM 9.10PM 9.30PM 9.50PM 10.10PM 10.30PM 10.50PM
 LOHEGAON,MANAPA,5.40AM 6.00AM 6.15AM 6.30AM 6.50AM 7.05AM 7.20AM 7.40AM 8.00AM 8.20AM 8.40AM 9.00AM 9.15AM 9.25AM 9.35AM 9.55AM 10.15AM 10.35AM 11.00AM 11.25AM 11.45AM 12.05PM 12.25PM 12.45PM 1.10PM 1.35PM 2.05PM 2.45PM 3.05PM 3.25PM 3.45PM 4.05PM 4.15PM 4.25PM 4.45PM 5.05PM 5.25PM 5.45PM 6.10PM 6.35PM 7.10PM 7.30PM 8.00PM 8.30PM 9.00PM 9.30PM
 MANAPA,LOHEGAON, 6.30AM 6.50AM 7.10AM 7.25AM 7.45AM 8.00AM 8.15AM 8.35AM 8.55AM 9.15AM 9.35AM 9.55AM 10.15AM 10.25AM 10.35AM 11.00AM 11.15AM 11.35AM 12.00PM 12.20PM 12.45PM 1.00PM 1.20PM 1.40PM 2.00PM 2.25PM 3.10PM 3.45PM 4.05PM 4.25PM 4.45PM 5.05PM 5.15PM 5.25PM 5.50PM 6.10PM 6.30PM 6.50PM 7.10PM 7.40PM 8.40PM 9.00PM 9.20PM 9.40PM 10.05PM 10.30PM
 VISHRANTWADI,DY.PATIL WORLD PRIDE CITY,6.00AM 7.40AM 9.00AM 10.20AM 11.40AM 2.45PM 4.40PM 6.00PM 7.20PM 9.05PM
 DY.PATIL WORLD PRIDE CITY,VISHRANTWADI, 7.00AM 8.20AM 9.40AM 11.00AM 12.50PM 4.00PM 5.20PM 6.40PM 8.30PM 9.45PM
 ALANDI,KHARADIGAON, 6.00AM 7.30AM 9.30AM 11.00AM 2.30PM 4.00PM 6.00PM
 KHARADIGAON,ALANDI, 7.30AM 9.00AM 11.00AM 12.30PM 4.00PM 5.30PM 7.30PM
 BHOSARI,ALANDI, 5.30AM 7.00AM 2.00PM
 ALANDI,BHOSARI, 12.30PM 7.00PM 9.00PM
 DIAMOND WATER PARK,STATION, 5.10AM 5.50AM 6.10AM 6.30AM 6.50AM 7.10AM 7.25AM 7.40AM 8.00AM 8.20AM 8.40AM 9.00AM 9.20AM 9.40AM 10.00AM 10.40AM 11.00AM 11.20AM 11.40AM 12.00PM 12.20PM 12.40PM 1.00PM 1.30PM 2.00PM 2.40PM 3.00PM 3.20PM 3.40PM 4.00PM 4.15PM 4.30PM 4.50PM 5.10PM 5.30PM 5.50PM 6.10PM 6.30PM 6.50PM 7.30PM 7.50PM 8.10PM 8.30PM 8.50PM 9.10PM 9.30PM 9.50PM 10.20PM
 STATION,DIAMOND WATER PARK, 6.25AM 7.05AM 7.25AM 7.45AM 8.05AM 8.25AM 8.40AM 8.55AM 9.15AM 9.35AM 9.55AM 10.15AM 10.35AM 10.55AM 11.15AM 11.55AM 12.15PM 12.35PM 12.55PM 1.15PM 1.35PM 1.55PM 2.15PM 2.45PM 3.15PM 3.55PM 4.15PM 4.35PM 4.55PM 5.15PM 5.30PM 5.45PM 6.05PM 6.25PM 6.45PM 7.05PM 7.25PM 7.45PM 8.05PM 8.45PM 9.05PM 9.25PM 9.45PM 10.05PM 10.25PM 10.45PM 11.05PM 11.30PM
 DIAMOND WATER PARK,STATION, 5.00AM 5.40AM 6.00AM 6.20AM 6.40AM 7.00AM 7.30AM 7.50AM 8.10AM 8.30AM 8.50AM 9.10AM 9.30AM 9.50AM 10.30AM 10.50AM 11.10AM 11.30AM 11.50AM 12.10PM 12.30PM 12.50PM 1.20PM 1.50PM 2.30PM 2.50PM 3.10PM 3.30PM 3.50PM 4.05PM 4.20PM 4.40PM 5.00PM 5.20PM 5.40PM 6.00PM 6.20PM 6.40PM 7.20PM 7.40PM 8.00PM 8.20PM 8.40PM 9.00PM 9.20PM 10.10PM
STATION,DIAMOND WATER PARK, 6.15AM 6.55AM 7.15AM 7.35AM 7.55AM 8.15AM 8.45AM 9.05AM 9.25AM 9.45AM 10.05AM 10.25AM 10.45AM 11.05AM 11.45AM 12.05PM 12.25PM 12.45PM 1.05PM 1.25PM 1.45PM 2.05PM 2.35PM 3.05PM 3.45PM 4.05PM 4.25PM 4.45PM 5.05PM 5.20PM 5.35PM 5.55PM 6.15PM 6.35PM 6.55PM 7.15PM 7.35PM 7.55PM 8.35PM 8.55PM 9.15PM 9.35PM 9.55PM 10.15PM 10.35PM 11.25PM
 HADAPSAR,KHARADI BYPASS, 8.00AM 8.35AM 9.15AM 11.30AM 12.05PM 12.40PM 4.10PM 4.40PM 5.20PM 6.00PM 6.40PM 7.20PM
 KHARADI BYPASS,HADAPSAR, 8.35AM 9.15AM 9.50AM 12.05PM 12.40PM 1.15PM 4.45PM 5.20PM 6.00PM 6.40PM 7.30PM 8.00PM
 HADAPSAR,HADAPSAR RAILWAY STATION, 9.50AM 10.25AM 3.00PM
 HADAPSAR RAILWAY STATION,HADAPSAR, 11.00AM 11.00AM 3.35PM
